id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,status,price,listingType,listedDate,removedDate,createdDate,lastSeenDate,daysOnMarket,mlsName,mlsNumber,listingAgent,listingOffice,lotSize,yearBuilt,hoa
"27-Central-Ave-Unit-C,-Caldwell-Boro-Township,-NJ-07006","27 Central Ave Unit C, Caldwell Boro Township, NJ 07006",27 Central Ave Unit C,,Caldwell Boro Township,NJ,07006,Essex,40.844098,-74.279489,Single Family,1,1.0,,Active,2200,Standard,2025-03-04T00:00:00.000Z,,2023-09-16T00:00:00.000Z,2025-07-05T04:15:02.276Z,124,GardenState,3948875,"{'name': 'Robert Van Der Wende', 'phone': '9737858420', 'email': 'rob@bhhsvdw.com'}","{'name': 'BHHS VAN DER WENDE PROPERTIES', 'phone': '9732260333'}",,2018.0,
"198-Underhill-Rd,-South-Orange-Village-Township,-NJ-07079","198 Underhill Rd, South Orange Village Township, NJ 07079",198 Underhill Rd,,South Orange Village Township,NJ,07079,Essex,40.754803,-74.270731,Single Family,6,4.0,3500.0,Active,6500,Standard,2025-03-26T00:00:00.000Z,,2021-11-10T00:58:57.696Z,2025-07-05T04:15:02.177Z,102,GardenState,3953049,"{'name': 'Vanessa Pollock', 'phone': '9735448484', 'email': 'vanessa@vanessapollock.com;vanesssa@vanessapollock.com', 'website': 'https://www.pollockpropertiesgroup.com/'}","{'name': 'Keller Williams Realty', 'phone': '9082732991', 'email': 'klrw516@kw.com', 'website': 'www.kellerwilliamsnj.com'}",10454.0,1960.0,
"10C-N-Ridgewood-Rd,-Unit-105,-South-Orange-Village-Township,-NJ-07079","10C N Ridgewood Rd, Unit 105, South Orange Village Township, NJ 07079",10C N Ridgewood Rd,Unit 105,South Orange Village Township,NJ,07079,Essex,40.747742,-74.262917,Single Family,2,2.0,1169.0,Active,3200,Standard,2025-03-29T00:00:00.000Z,,2025-06-27T00:00:00.000Z,2025-07-05T04:05:46.441Z,99,GardenState,3953696,"{'name': 'Christopher L. Bruscino', 'phone': '9737297141', 'email': 'chrisbruscino@hotmail.com'}","{'name': 'REALTY EXECUTIVES EXCEPTIONAL', 'phone': '9737297141', 'email': 'clientcare@realtyexecutives.com', 'website': 'https://www.rexexceptional.com/'}",33977.0,1960.0,
"378-Millburn-Ave,-Unit-303,-Millburn,-NJ-07041","378 Millburn Ave, Unit 303, Millburn, NJ 07041",378 Millburn Ave,Unit 303,Millburn,NJ,07041,Essex,40.723133,-74.30941,Single Family,2,2.0,1287.0,Active,5500,Standard,2025-04-02T00:00:00.000Z,,2025-05-10T00:00:00.000Z,2025-07-05T04:05:46.426Z,95,GardenState,3954513,"{'name': 'Joanna Parker-lentz', 'phone': '9736994388', 'email': 'joanna.parkerlentz@cbrealty.com', 'website': 'http://www.jodiandjoanna.com/'}","{'name': 'Coldwell Banker Realty', 'phone': '9733765200', 'email': 'michael.pennisi@cbmoves.com', 'website': 'https://www.coldwellbankerhomes.com//nj/short-hills/office/short-hills-office/oid_1688/'}",6970.0,2024.0,
"616-S-Orange-Ave,-Apt-3H,-Maplewood,-NJ-07040","616 S Orange Ave, Apt 3H, Maplewood, NJ 07040",616 S Orange Ave,Apt 3H,Maplewood,NJ,07040,Essex,40.745956,-74.278573,Condo,2,2.0,1225.0,Active,4300,Standard,2025-04-07T00:00:00.000Z,,2020-07-18T03:43:26.976Z,2025-07-05T04:05:46.404Z,90,GardenState,3955286,"{'name': 'Lewis Levinson', 'phone': '9733788300', 'email': 'michael.levinson@cbmoves.com', 'website': 'https://www.michaellevinsonrealestate.com/'}","{'name': 'Coldwell Banker Realty', 'phone': '9733788300', 'email': 'michael.pennisi@cbmoves.com', 'website': 'https://www.coldwellbankerhomes.com//nj/maplewood/office/maplewood-office/oid_1578/'}",87556.0,1991.0,
"35-37-Main-St,-Unit-2A,-Millburn,-NJ-07041","35-37 Main St, Unit 2A, Millburn, NJ 07041",35-37 Main St,Unit 2A,Millburn,NJ,07041,Essex,40.724396,-74.307678,Single Family,2,2.0,918.0,Active,4450,Standard,2025-04-07T00:00:00.000Z,,2025-04-11T00:00:00.000Z,2025-07-05T04:05:46.402Z,90,GardenState,3955435,"{'name': 'Stephanie Mallios', 'phone': '2014041972', 'email': 'stephanie.mallios@compass.com', 'website': 'http://www.stephaniemallios.com/'}","{'name': 'COMPASS', 'phone': '9733106816', 'email': 'mdibenedetto4@gmail.com'}",17424.0,1910.0,
"165-Church-St,-South-Orange-Village-Township,-NJ-07079","165 Church St, South Orange Village Township, NJ 07079",165 Church St,,South Orange Village Township,NJ,07079,Essex,40.744956,-74.264887,Single Family,6,2.0,,Active,5550,Standard,2025-04-12T00:00:00.000Z,,2025-04-13T00:00:00.000Z,2025-07-05T04:05:46.392Z,85,GardenState,3956529,"{'name': 'Collette Andrews', 'phone': '9733788300', 'email': 'collette.andrews@cbmoves.com', 'website': 'http://homesbycollette.com'}","{'name': 'Coldwell Banker Realty', 'phone': '9733788300', 'email': 'michael.pennisi@cbmoves.com', 'website': 'https://www.coldwellbankerhomes.com//nj/maplewood/office/maplewood-office/oid_1578/'}",2614.0,2023.0,
"74-2nd-St,-South-Orange-Village-Township,-NJ-07079","74 2nd St, South Orange Village Township, NJ 07079",74 2nd St,,South Orange Village Township,NJ,07079,Essex,40.743534,-74.259203,Single Family,2,1.0,,Active,3800,Standard,2025-04-15T00:00:00.000Z,,2020-06-24T13:57:02.594Z,2025-07-05T04:05:46.388Z,82,GardenState,3956992,"{'name': 'Luis Tomas Estrella', 'phone': '9176020293'}","{'name': 'Keller Williams Village Square Realty', 'phone': '2014454300', 'email': 'colleenkossoff@aol.com', 'website': 'http://kwvillagesquare.yourkwoffice.com/'}",9583.0,1843.0,
"588-Chestnut-St,-Unit-2,-City-Of-Orange-Township,-NJ-07050","588 Chestnut St, Unit 2, City Of Orange Township, NJ 07050",588 Chestnut St,Unit 2,City Of Orange Township,NJ,07050,Essex,40.760368,-74.251427,Multi-Family,2,1.0,1000.0,Active,2800,Standard,2025-04-12T00:00:00.000Z,,2020-08-19T04:55:57.595Z,2025-07-05T04:05:46.369Z,85,GardenState,3956556,,"{'name': 'LIFESTYLE INTERNATIONAL REALTY', 'phone': '2015595770'}",3485.0,1910.0,
"511-Scotland-Rd,-South-Orange-Village-Township,-NJ-07079","511 Scotland Rd, South Orange Village Township, NJ 07079",511 Scotland Rd,,South Orange Village Township,NJ,07079,Essex,40.755069,-74.25079,Single Family,3,2.5,1688.0,Active,5500,Standard,2025-04-11T00:00:00.000Z,,2019-07-14T21:35:40.183Z,2025-07-05T04:05:46.338Z,86,GardenState,3956449,"{'name': 'Stephanie Mallios', 'phone': '2014041972', 'email': 'stephanie.mallios@compass.com', 'website': 'http://www.stephaniemallios.com/'}","{'name': 'COMPASS', 'phone': '9733106816', 'email': 'mdibenedetto4@gmail.com'}",8712.0,1970.0,
"4-Orchard-Sq,---1,-Caldwell,-NJ-07006","4 Orchard Sq, # 1, Caldwell, NJ 07006",4 Orchard Sq,# 1,Caldwell,NJ,07006,Essex,40.841064,-74.272659,Multi-Family,3,2.0,1200.0,Active,3300,Standard,2025-04-13T00:00:00.000Z,,2025-04-22T00:00:00.000Z,2025-07-05T04:05:46.329Z,84,,,,,,2022.0,
"459-Bloomfield-Ave,-Unit-303,-Caldwell,-NJ-07006","459 Bloomfield Ave, Unit 303, Caldwell, NJ 07006",459 Bloomfield Ave,Unit 303,Caldwell,NJ,07006,Essex,40.842754,-74.280869,Apartment,1,1.0,,Active,2700,Standard,2025-04-17T00:00:00.000Z,,2025-04-18T00:00:00.000Z,2025-07-05T04:05:46.321Z,80,NewJerseyMLS,25012616,"{'name': 'Katie Ann Miedler', 'phone': '2013060201', 'email': 'katiemiedler@yahoo.com', 'website': 'https://www.agencyontheave.com/'}","{'name': 'Agency on the Ave', 'phone': '9733378883', 'email': 'gialanella22@gmail.com', 'website': 'https://www.agencyontheave.com/'}",,,
"459-Bloomfield-Ave,-Unit-405,-Caldwell-Boro-Township,-NJ-07006","459 Bloomfield Ave, Unit 405, Caldwell Boro Township, NJ 07006",459 Bloomfield Ave,Unit 405,Caldwell Boro Township,NJ,07006,Essex,40.842754,-74.280869,Apartment,1,1.0,,Active,2600,New Construction,2025-04-17T00:00:00.000Z,,2025-04-18T00:00:00.000Z,2025-07-05T04:05:46.292Z,80,GardenState,3957409,"{'name': 'Katie Ann Miedler', 'phone': '2013060201', 'email': 'katiemiedler@yahoo.com', 'website': 'https://www.agencyontheave.com/'}","{'name': 'AGENCY ON THE AVE', 'phone': '9733378883'}",5610.0,2024.0,
"459-Bloomfield-Ave,-Unit-405,-Caldwell,-NJ-07006","459 Bloomfield Ave, Unit 405, Caldwell, NJ 07006",459 Bloomfield Ave,Unit 405,Caldwell,NJ,07006,Essex,40.842754,-74.280869,Apartment,1,1.0,,Active,2600,Standard,2025-04-17T00:00:00.000Z,,2025-04-18T00:00:00.000Z,2025-07-05T04:05:46.273Z,80,NewJerseyMLS,25012614,"{'name': 'Katie Ann Miedler', 'phone': '2013060201', 'email': 'katiemiedler@yahoo.com', 'website': 'https://www.agencyontheave.com/'}","{'name': 'Agency on the Ave', 'phone': '9733378883', 'email': 'gialanella22@gmail.com', 'website': 'https://www.agencyontheave.com/'}",,,
"340-Bloomfield-Ave-Apt-A,-Caldwell-Boro-Township,-NJ-07006","340 Bloomfield Ave Apt A, Caldwell Boro Township, NJ 07006",340 Bloomfield Ave Apt A,,Caldwell Boro Township,NJ,07006,Essex,40.854782,-74.284943,Multi-Family,2,1.0,,Active,2300,Standard,2025-04-19T00:00:00.000Z,,2025-04-20T00:00:00.000Z,2025-07-05T04:05:46.249Z,78,GardenState,3957604,"{'name': 'Tracy (Yaw) Chan', 'phone': '9732281050', 'email': 'tracyychan@gmail.com', 'website': 'http://www.tracychanhomes.com'}","{'name': 'CENTURY 21 Cedarcrest Realty, Inc.', 'phone': '9732281050', 'email': 'johnsassc21re@gmail.com', 'website': 'http://www.century21cedarcrest.com/'}",4356000000.0,1940.0,
"130-Runnymede-Rd,-West,-Caldwell,-NJ-07006","130 Runnymede Rd, West, Caldwell, NJ 07006",130 Runnymede Rd,West,Caldwell,NJ,07006,Essex,40.838074,-74.292425,Single Family,1,1.0,,Active,1750,Standard,2025-04-19T00:00:00.000Z,,2024-09-26T00:00:00.000Z,2025-07-05T04:05:46.244Z,78,GardenState,3957617,"{'name': 'John T. Byrne', 'phone': '9734641044', 'email': 'jognthomasbyrne@yahoo.com'}","{'name': 'LUXURY LIVING COMPANY, LLC', 'phone': '9732877355'}",34412.0,1980.0,
"19-Elmwood-Ave,-West-Orange,-NJ-07052","19 Elmwood Ave, West Orange, NJ 07052",19 Elmwood Ave,,West Orange,NJ,07052,Essex,40.796009,-74.270055,Single Family,3,3.0,,Active,4700,Standard,2025-04-19T00:00:00.000Z,,2025-04-20T00:00:00.000Z,2025-07-05T04:05:46.243Z,78,GardenState,3957635,"{'name': 'Nauana Burigo', 'phone': '9732342317', 'email': 'nauanab@gmail.com', 'website': 'nauana.previewhomes.com'}","{'name': 'Coldwell Banker Realty', 'phone': '9732630400', 'email': 'john.barr@coldwellbankermoves.com', 'website': 'https://www.coldwellbankerhomes.com//nj/mountain-lakes/office/mountain-lakes-office/oid_1602/'}",4792.0,1930.0,
"6-Baldwin-Ct,-Roseland,-NJ-07068","6 Baldwin Ct, Roseland, NJ 07068",6 Baldwin Ct,,Roseland,NJ,07068,Essex,40.819012,-74.285317,Single Family,4,3.5,3030.0,Active,7500,Standard,2025-04-22T00:00:00.000Z,,2025-04-23T00:00:00.000Z,2025-07-05T04:05:46.232Z,75,GardenState,3958206,"{'name': 'Fanny Na Chung', 'phone': '9739064944', 'email': 'fannynachung@kw.com', 'website': 'http://fannynachungchung.kwrealty.com'}","{'name': 'KELLER WILLIAMS SUBURBAN REALTY', 'phone': '9732510100', 'email': 'klrw807@kw.com'}",26572.0,1993.0,
"38-Seaman-Rd,-West-Orange,-NJ-07052","38 Seaman Rd, West Orange, NJ 07052",38 Seaman Rd,,West Orange,NJ,07052,Essex,40.813136,-74.248487,Single Family,4,2.0,,Active,4300,Standard,2025-04-23T00:00:00.000Z,,2024-07-10T00:00:00.000Z,2025-07-05T04:05:46.224Z,74,GardenState,3958513,"{'name': 'Frederico Viegas', 'phone': '9733425601', 'email': 'info@skyrealtynj.com', 'website': 'http://www.skyrealtynj.net'}","{'name': 'Sky Realty Associates LLC', 'phone': '9733448880', 'email': 'sales@skyrealtynj.com'}",5227.0,1950.0,
"53-E-Cedar-St,-Livingston,-NJ-07039","53 E Cedar St, Livingston, NJ 07039",53 E Cedar St,,Livingston,NJ,07039,Essex,40.789039,-74.309575,Single Family,4,2.0,,Active,4200,Standard,2025-05-01T00:00:00.000Z,,2025-03-23T00:00:00.000Z,2025-07-05T04:03:47.377Z,66,GardenState,3960269,"{'name': 'Rachna Maheshwari', 'phone': '9739944323', 'email': 'rachna.maheshwari@cbmoves.com', 'website': 'https://newjerseyrealestateagent.cbintouch.com/'}","{'name': 'Coldwell Banker Realty', 'phone': '9739944323', 'email': 'jerry.jacob@coldwellbankermoves.com', 'website': 'https://www.coldwellbankerhomes.com//nj/livingston/office/livingston-office/oid_1548/'}",24394.0,1932.0,
"28-W-3rd-St,-Apt-1431,-South-Orange,-NJ-07079","28 W 3rd St, Apt 1431, South Orange, NJ 07079",28 W 3rd St,Apt 1431,South Orange,NJ,07079,Essex,40.744118,-74.26355,Apartment,1,1.0,896.0,Active,3156,Standard,2025-05-01T00:00:00.000Z,,2025-05-02T00:00:00.000Z,2025-07-05T04:03:47.375Z,66,Funnel,M4643945-12054,"{'name': 'Sofi Leasing', 'phone': '9738741217'}",{'name': 'The Management Company'},,,
"806-Morris-Tpke,-Apt-1E7,-Millburn,-NJ-07078","806 Morris Tpke, Apt 1E7, Millburn, NJ 07078",806 Morris Tpke,Apt 1E7,Millburn,NJ,07078,Essex,40.724586,-74.336441,Apartment,1,1.0,819.0,Active,2163,Standard,2025-04-28T00:00:00.000Z,,2023-05-18T00:00:00.000Z,2025-07-05T04:03:47.353Z,69,GardenState,3959440,"{'name': 'Catalda Cocuzza', 'phone': '9733788300', 'email': 'catalda.cocuzza@cbrealty.com', 'website': 'https://www.coldwellbankerhomes.com/nj/maplewood/agent/catalda-cocuzza/aid_229144/'}","{'name': 'Coldwell Banker Realty', 'phone': '9733788300', 'email': 'michael.pennisi@cbmoves.com', 'website': 'https://www.coldwellbankerhomes.com//nj/maplewood/office/maplewood-office/oid_1578/'}",411206.0,1960.0,
"806-Morris-Tpke,-Apt-4G7,-Millburn,-NJ-07078","806 Morris Tpke, Apt 4G7, Millburn, NJ 07078",806 Morris Tpke,Apt 4G7,Millburn,NJ,07078,Essex,40.724586,-74.336441,Apartment,1,1.0,819.0,Active,2163,Standard,2025-04-28T00:00:00.000Z,,2025-04-29T00:00:00.000Z,2025-07-05T04:03:47.352Z,69,GardenState,3959439,"{'name': 'Catalda Cocuzza', 'phone': '9733788300', 'email': 'catalda.cocuzza@cbrealty.com', 'website': 'https://www.coldwellbankerhomes.com/nj/maplewood/agent/catalda-cocuzza/aid_229144/'}","{'name': 'Coldwell Banker Realty', 'phone': '9733788300', 'email': 'michael.pennisi@cbmoves.com', 'website': 'https://www.coldwellbankerhomes.com//nj/maplewood/office/maplewood-office/oid_1578/'}",411206.0,1960.0,
"806-Morris-Tpke,-Apt-3J6,-Millburn,-NJ-07078","806 Morris Tpke, Apt 3J6, Millburn, NJ 07078",806 Morris Tpke,Apt 3J6,Millburn,NJ,07078,Essex,40.724586,-74.336441,Multi-Family,1,1.0,819.0,Active,2193,Standard,2025-04-28T00:00:00.000Z,,2025-04-29T00:00:00.000Z,2025-07-05T04:03:47.351Z,69,GardenState,3959454,"{'name': 'Catalda Cocuzza', 'phone': '9733788300', 'email': 'catalda.cocuzza@cbrealty.com', 'website': 'https://www.coldwellbankerhomes.com/nj/maplewood/agent/catalda-cocuzza/aid_229144/'}","{'name': 'Coldwell Banker Realty', 'phone': '9733788300', 'email': 'michael.pennisi@cbmoves.com', 'website': 'https://www.coldwellbankerhomes.com//nj/maplewood/office/maplewood-office/oid_1578/'}",411206.0,1960.0,
"806-Morris-Tpke,-Apt-2D1,-Millburn,-NJ-07078","806 Morris Tpke, Apt 2D1, Millburn, NJ 07078",806 Morris Tpke,Apt 2D1,Millburn,NJ,07078,Essex,40.724586,-74.336441,Multi-Family,1,1.0,819.0,Active,2338,Standard,2025-04-28T00:00:00.000Z,,2022-10-06T02:04:44.146Z,2025-07-05T04:03:47.351Z,69,GardenState,3959453,"{'name': 'Catalda Cocuzza', 'phone': '9733788300', 'email': 'catalda.cocuzza@cbrealty.com', 'website': 'https://www.coldwellbankerhomes.com/nj/maplewood/agent/catalda-cocuzza/aid_229144/'}","{'name': 'Coldwell Banker Realty', 'phone': '9733788300', 'email': 'michael.pennisi@cbmoves.com', 'website': 'https://www.coldwellbankerhomes.com//nj/maplewood/office/maplewood-office/oid_1578/'}",411206.0,1960.0,
"271-Millburn-Ave-Unit-A,-Millburn,-NJ-07041","271 Millburn Ave Unit A, Millburn, NJ 07041",271 Millburn Ave Unit A,,Millburn,NJ,07041,Essex,40.724674,-74.302353,Multi-Family,2,1.0,,Active,3750,Standard,2025-05-01T00:00:00.000Z,,2025-05-02T00:00:00.000Z,2025-07-05T04:03:47.318Z,66,GardenState,3960247,"{'name': 'Neil Steiger', 'phone': '9733760033', 'email': 'nsteiger@kw.com', 'website': 'http://x266797.yourkwagent.com'}","{'name': 'Keller Williams Realty', 'phone': '9082732991', 'email': 'klrw516@kw.com', 'website': 'www.kellerwilliamsnj.com'}",14375.0,2021.0,
"204-Prospect-St,-South-Orange-Village-Township,-NJ-07079","204 Prospect St, South Orange Village Township, NJ 07079",204 Prospect St,,South Orange Village Township,NJ,07079,Essex,40.741504,-74.257901,Multi-Family,4,1.0,,Active,3200,Standard,2025-05-02T00:00:00.000Z,,2019-05-13T17:42:05.148Z,2025-07-05T04:03:47.303Z,65,GardenState,3960460,"{'name': 'Avner Beno', 'phone': '9737621171', 'email': 'metronetpl;@aol.com', 'website': 'http://www.mybeno.com'}","{'name': 'ELITE REALTORS OF NEW JERSEY', 'phone': '9739949009', 'email': 'info@eliternj.com', 'website': 'http://www.eliternj.com'}",8276.0,1945.0,
"46-Johnson-Rd,-West-Orange,-NJ-07052","46 Johnson Rd, West Orange, NJ 07052",46 Johnson Rd,,West Orange,NJ,07052,Essex,40.802726,-74.256019,Single Family,3,1.0,,Active,3400,Standard,2025-05-04T00:00:00.000Z,,2025-05-04T00:00:00.000Z,2025-07-05T04:03:47.299Z,63,GardenState,3960785,"{'name': 'Joshua Levitt', 'phone': '9173343793', 'email': 'joshlevitthomes@gmail.com', 'website': 'http://www.joshlevitt.com'}","{'name': 'Keller Williams Realty', 'phone': '9082732991', 'email': 'klrw516@kw.com', 'website': 'www.kellerwilliamsnj.com'}",5625.0,1926.0,
"333-Valley-St,-South-Orange-Village-Township,-NJ-07079","333 Valley St, South Orange Village Township, NJ 07079",333 Valley St,,South Orange Village Township,NJ,07079,Essex,40.740307,-74.263809,Multi-Family,3,1.0,,Active,2600,Standard,2025-05-06T00:00:00.000Z,,2025-05-07T00:00:00.000Z,2025-07-05T04:03:47.294Z,61,GardenState,3961299,"{'name': 'Tedros Negasi', 'phone': '9732439330', 'email': 'tedros@cassrealtors.com'}","{'name': 'CASS INC.', 'phone': '9732439330', 'email': 'cass.realtors@verizon.net', 'website': 'http://cassrealtors.com'}",3049.0,,
"25-Dodd-Rd,-West,-Caldwell,-NJ-07006","25 Dodd Rd, West, Caldwell, NJ 07006",25 Dodd Rd,West,Caldwell,NJ,07006,Essex,40.849532,-74.289621,Single Family,3,1.5,,Active,3400,Standard,2025-05-14T00:00:00.000Z,,2024-10-29T00:00:00.000Z,2025-07-05T04:03:11.245Z,53,NewJerseyMLS,25016185,"{'name': 'Jose Sanchez', 'phone': '9736867777', 'email': 'joseasanchez2@outlook.com'}","{'name': 'Realty One Group Legend, Clifton', 'phone': '9737720660', 'email': 'info@roglegend.com', 'website': 'https://www.roglegend.com/'}",21780.0,1920.0,
"30A-Rector-St,-Unit-A,-Millburn,-NJ-07041","30A Rector St, Unit A, Millburn, NJ 07041",30A Rector St,Unit A,Millburn,NJ,07041,Essex,40.720472,-74.308501,Townhouse,3,3.5,1921.0,Active,6400,Standard,2025-05-19T00:00:00.000Z,,2025-05-20T00:00:00.000Z,2025-07-05T04:03:11.127Z,48,GardenState,3964048,"{'name': 'Danielle G. Genovese', 'phone': '9739867733', 'email': 'danielle.genovese@premiumonerealty.com', 'website': 'http://premiumonerealty.com'}","{'name': 'PREMIUMONE REALTY', 'phone': '9084455546'}",7405.0,2017.0,
"25-Glenview-Dr,-West-Orange,-NJ-07052","25 Glenview Dr, West Orange, NJ 07052",25 Glenview Dr,,West Orange,NJ,07052,Essex,40.771685,-74.296608,Single Family,4,2.0,1650.0,Active,4450,Standard,2025-05-13T00:00:00.000Z,,2022-08-04T01:58:55.122Z,2025-07-05T04:03:11.109Z,54,,,,,7405.0,1947.0,
